pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
unizd:7735;thesis;Queer Deviance in New Queer Cinema;Ivanov, Antonia;Petkovic, Rajko;;29.9.2023;https://urn.nsk.hr/urn:nbn:hr:162:154148;;;;
ffzg:1574;thesis;Untranslatability: Lexical and Culture Gaps;Cuculic, Petra;Nikolic, Kristijan;;4.7.2017;https://urn.nsk.hr/urn:nbn:hr:131:126457;;;;
ffri:2890;thesis;A Translation of a Short Story from the Italian Language to the English Language and a Comparison with the Traslation from the Italian Language to the Croatian Language;Turk, Ena;Tutek, Nikola;;14.7.2021;https://urn.nsk.hr/urn:nbn:hr:186:693774;;;;
unizd:7569;thesis;Gender-Related Differences in Language Use: The Case of the TV Series “How I Met Your Mother”, “The Big Bang Theory” and “New Girl”;Došen, Anela;Škific, Sanja;;27.9.2023;https://urn.nsk.hr/urn:nbn:hr:162:943061;;;;
ffzg:817;thesis;The Ethical and Moral Implications of Poverty in Down and Out in Paris and London and Cwmardy;Grguric, Kristina;Domines Veliki, Martina;;1.9.2019;https://urn.nsk.hr/urn:nbn:hr:131:621795;;;;
ffos:1073;thesis;Translating cultural capital from Croatian into English - Case study of 'Naš covjek na terenu' by Robert Perišic and its translation into English;Lovric, Marinela;Omazic, Marija;;22.12.2014;https://urn.nsk.hr/urn:nbn:hr:142:518681;;;;
ffzg:2946;thesis;Motivation of Idioms in English and Russian Folk Tales;Ries, Hana;"Grubišic, Marina; ";;23.9.2020;https://urn.nsk.hr/urn:nbn:hr:131:185064;;;;
ffos:1015;thesis;Teaching Toni Morrison's Beloved and The Bluest Eye: Employing the Theme/Motif of Community;Danko, Rebecca;"Oklopcic, Biljana; ";;28.9.2015;https://urn.nsk.hr/urn:nbn:hr:142:306561;;;;
ffzg:3893;thesis;The European Union and the Dissolution of Yugoslavia;Vujnovic, Luka;Previšic, Martin;;25.2.2021;https://urn.nsk.hr/urn:nbn:hr:131:012596;;;;
ffri:496;thesis;Climate Change and International Distributive Justice;Gašparic, Petra;Baccarini, Elvio;;30.9.2016;https://urn.nsk.hr/urn:nbn:hr:186:814123;;;;
ffzg:2237;thesis;A sociolinguistic analysis of word formation in a lifestyle magazine;Gašparovic, Mia;Žic Fuchs, Milena;;5.7.2019;https://urn.nsk.hr/urn:nbn:hr:131:831191;;;;
ffzg:7291;thesis;Translating Phraseological Units: A Contrastive Study of the Croatian Translations of Edgar Allan Poe's The Black Cat and The Murders in the Rue Morgue;Novko, Ida;Stanojevic, Mateusz-Milan;;19.1.2023;https://urn.nsk.hr/urn:nbn:hr:131:018782;;;;
ffzg:5890;thesis;Automatization of Valency Frames Prediction Based on Verb Prefixation with NooJ;Bajac, Petra;"Bekavac, Božo; ";;23.3.2022;https://urn.nsk.hr/urn:nbn:hr:131:708196;;;;
