pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
pmf:439;thesis;Amino acid variation in human proteome;Vukovic, Kristijan;"Hrenar, Tomica; Inouye, Michael";;30.9.2016;https://urn.nsk.hr/urn:nbn:hr:217:538899;;;;
pmf:9459;thesis;Mouse Fc and Fab IgG N-glycosylation;Vukovic, Nikolina;"Pezer, Marija; ";;24.2.2021;https://urn.nsk.hr/urn:nbn:hr:217:427228;;;;
pmfst:278;thesis;Quantum Monte-Carlo simulations of two-component Bose mixtures;Cikojevic, Viktor;Vranješ Markic, Leandra;;23.9.2016;https://urn.nsk.hr/urn:nbn:hr:166:816711;;;;
pmf:1987;thesis;Mapping of sufrace-exposed cysteines in ATPase ISWI;Vizjak, Petra;Müller-Planitz, Felix;;29.9.2017;https://urn.nsk.hr/urn:nbn:hr:217:949570;;;;
mathos:502;thesis;Models of Hyperbolic Geometry;Prološcic, Valentina;Matic, Ivan;;3.2.2021;https://urn.nsk.hr/urn:nbn:hr:126:864285;;;;
rgn:579;thesis;Geochemical modelling of CO2 dissolution in deep saline aquifers - the effects on brine composition;Tomljenovic, Iva;Saftic, Bruno;;21.7.2017;https://urn.nsk.hr/urn:nbn:hr:169:131462;;;;
pmf:10019;thesis;The ability of ravens (Corvus corax Linnaeus, 1758) to evaluate human behavior from a bystander perspective;Tomašic, Ana;"Bugnyar, Thomas; ";;28.9.2021;https://urn.nsk.hr/urn:nbn:hr:217:873086;;;;
pmfst:1865;thesis;Characterization and antibacterial effect of modified polymer surfaces;Bacekovic, Marija;Krce, Lucija;;21.12.2023;https://urn.nsk.hr/urn:nbn:hr:166:819456;;;;
pmfst:1233;thesis;Analysis of the eastern Adriatic sea-level extremes;Pervan, Marija;Šepic, Jadranka;;21.7.2021;https://urn.nsk.hr/urn:nbn:hr:166:772607;;;;
ktfst:216;thesis;Surfactant free microemulsions: possible applications for solubilisation and extraction of hydrophobic components;Jurko, Lucija;Sokol, Vesna;;27.10.2017;https://urn.nsk.hr/urn:nbn:hr:167:147644;;;;
pmf:10429;thesis;Genetic and epigenetic landscapes of spontaneus genome rearrangements in grapevine;Noršic, Dominik;"Weigel, Detlef; ";;22.2.2022;https://urn.nsk.hr/urn:nbn:hr:217:976183;;;;
pmf:8310;thesis;Racunalna klasifikacija uzoraka mikrobnih zajednica probavnog trakta kod ljudi sa zdravom i bolesnom jetrom;Pavlinek, Eva;Vlahovicek, Kristian;;17.2.2020;https://urn.nsk.hr/urn:nbn:hr:217:032388;;;;
pmf:9696;thesis;A genome-wide association study of maternal genetic effects in autism spectrum disorder;Vucinic, Kim;"Shields, Denis; ";;26.2.2021;https://urn.nsk.hr/urn:nbn:hr:217:168612;;;;
pmfst:1551;thesis;The influence of atmospheric forcing on the interannual variability of the Adriatic mean sea level;Pupic Vurilj, Mia;Šepic, Jadranka;;29.9.2022;https://urn.nsk.hr/urn:nbn:hr:166:396327;;;;
pmfst:1813;thesis;Optimization and in-depth analysis of alginate nanocellulose hydrogels for 3D printing of vascular and integumentary systems;Šurina, Paola;"Boškovic, Perica; ";;29.9.2023;https://urn.nsk.hr/urn:nbn:hr:166:642604;;;;
pmf:5268;thesis;Preprocessing Algorithm for the Generalized SVD on the Graphics Processing Units;Flegar, Goran;Singer, Sanja;;1.7.2016;https://urn.nsk.hr/urn:nbn:hr:217:008225;;;;
pmf:11637;thesis;Isolation and characterisation of bovine muscle stem cell progenitors;Cackovic, Josip;Kluger, Petra;;3.4.2023;https://urn.nsk.hr/urn:nbn:hr:217:984210;;;;
pmfst:1523;thesis;Electroformation of giant unilamellar vesicles from uniform lipid film;Šumanovac, Josipa;Raguž, Marija;;27.9.2022;https://urn.nsk.hr/urn:nbn:hr:166:678766;;;;
pmfst:1848;thesis;Tensor network algorithm for solving quantum physics on high-performance computing clusters;Barac, Rocco;"Vranješ Markic, Leandra; ";;25.10.2023;https://urn.nsk.hr/urn:nbn:hr:166:271117;;;;
pmfst:273;thesis;Experimental evolution of Caenorhabditis elegans;Mravak, Antonija;Puizina, Jasna;;4.3.2016;https://urn.nsk.hr/urn:nbn:hr:166:617128;;;;
pmfst:1382;thesis;Lagrangian simulations of pollutants under conditions of bora and sirocco winds in the middle Adriatic using FLEXPART-WRF models;Denk, Luka;Koracin, Darko;;16.2.2022;https://urn.nsk.hr/urn:nbn:hr:166:487672;;;;
fkit:1924;thesis;Evaluation of water matrix effect on degradation of pharmaceuticals and determination of degradation mechanism;Samzadeh, Amin;Bolanca, Tomislav;;25.6.2021;https://urn.nsk.hr/urn:nbn:hr:149:140589;;;;
phyri:246;thesis;Correlation of atmospheric parameters measured by MAGIC optical LIDAR and CTA FRAM;Kolarek, Marta;Dominis Prester, Dijana;;28.9.2023;https://urn.nsk.hr/urn:nbn:hr:194:364786;;;;
